movie_title,num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,gross,title_year,num_voted_users,plot_keywords,num_user_for_reviews,budget,genres
The Jungle Book ,370,106,4000,19000,13000,591,362645141,2016,106072,fire|jungle|remake|tiger|wolf,398,175000000,Adventure|Drama|Family|Fantasy
Iron Man 2 ,453,124,4000,21000,19000,4000,312057433,2010,522371,hammer|military|monaco|revenge|tony stark,723,200000000,Action|Adventure|Sci-Fi
Snow White and the Huntsman ,416,132,274,26000,17000,11000,155111815,2012,228554,evil queen|fairy tale|magic|queen|snow white,710,170000000,Action|Adventure|Drama|Fantasy
Maleficent ,401,97,171,11000,2000,846,241407328,2014,252257,curse|dark fantasy|fairy|king|kingdom,634,180000000,Action|Adventure|Family|Fantasy|Romance
Dawn of the Planet of the Apes ,521,130,198,10000,2000,884,208543795,2014,317542,ape|dam|leader|post apocalypse|sequel,620,170000000,Action|Adventure|Drama|Sci-Fi
The Lovers ,10,109,596,622,525,283,,2015,2138,1770s|british india|great barrier reef|india|ring,15,,Action|Adventure|Romance|Sci-Fi
47 Ronin ,218,128,47,18000,1000,982,38297305,2013,116994,box office flop|ronin|samurai|shogun|tournament,324,175000000,Action|Adventure|Drama|Fantasy
Captain America: The Winter Soldier ,576,136,94,19000,11000,2000,259746958,2014,496749,conspiracy|heroism|megalomaniac|super soldier|world domination,742,170000000,Action|Adventure|Sci-Fi
Shrek Forever After ,226,93,31,4000,225,213,238371987,2010,138661,alternate world|fairy tale parody|female warrior|ogre|true love,173,165000000,Adventure|Animation|Comedy|Family|Fantasy
Tomorrowland ,443,130,663,2000,638,604,93417865,2015,128306,boy genius|futuristic city|inventor|teenage girl|time travel,497,190000000,Action|Adventure|Family|Mystery|Sci-Fi
Big Hero 6 ,384,102,38,756,719,562,222487711,2014,279093,high tech|martial arts|masked man|robot|superhero,433,165000000,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi
Wreck-It Ralph ,377,101,66,975,931,833,189412677,2012,272534,arcade|candy|glitch|king|medal,345,165000000,Adventure|Animation|Comedy|Family|Sci-Fi
The Polar Express ,188,100,0,15000,726,267,665426,2004,120798,boy|christmas|christmas eve|north pole|train,444,165000000,Adventure|Animation|Family|Fantasy
Independence Day: Resurgence ,286,120,776,890,812,535,102315545,2016,58137,alien|battle|defense|independence day|mothership,520,165000000,Action|Adventure|Sci-Fi
How to Train Your Dragon ,288,98,255,18000,953,759,217387997,2010,485430,dragon|island|training|viking|village,492,165000000,Adventure|Animation|Family|Fantasy
Terminator 3: Rise of the Machines ,280,109,84,648,284,191,150350192,2003,305340,drifter|exploding truck|future|machine|skynet,1676,200000000,Action|Sci-Fi
Guardians of the Galaxy ,653,121,571,14000,14000,3000,333130696,2014,682155,bounty hunter|outer space|raccoon|talking animal|tree,1097,170000000,Action|Adventure|Sci-Fi
Interstellar ,712,169,22000,11000,11000,6000,187991439,2014,928227,black hole|father daughter relationship|saving the world|space travel|wormhole,2725,165000000,Adventure|Drama|Sci-Fi
Inception ,642,148,22000,29000,27000,23000,292568851,2010,1468200,ambiguous ending|corporate espionage|dream|subconscious|thief,2803,160000000,Action|Adventure|Sci-Fi|Thriller
Godzilla Resurgence ,1,120,28,544,106,12,,2016,374,blood|godzilla|monster|sequel,13,,Action|Adventure|Drama|Horror|Sci-Fi
The Hobbit: An Unexpected Journey ,645,182,0,5000,972,773,303001229,2012,637246,dragon|dwarf|hobbit|orc|wizard,1367,180000000,Adventure|Fantasy
The Fast and the Furious ,187,106,357,23000,14000,4000,144512310,2001,272223,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,988,38000000,Action|Crime|Thriller
The Curious Case of Benjamin Button ,362,166,21000,11000,1000,919,127490802,2008,459346,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,822,150000000,Drama|Fantasy|Romance
X-Men: First Class ,500,132,905,34000,13000,1000,146405371,2011,518537,cia|cia agent|mutant|nuclear war|professor,698,160000000,Action|Adventure|Sci-Fi
The Hunger Games: Mockingjay - Part 2 ,389,137,508,34000,22000,14000,281666058,2015,166137,death of sister|dystopia|execution|rebellion|revolution,383,160000000,Adventure|Sci-Fi
The Sorcerer's Apprentice ,235,109,226,12000,418,370,63143812,2010,124185,chosen one|enchanted object|love|spell|training,238,150000000,Action|Adventure|Family|Fantasy
Poseidon ,231,98,249,87000,2000,702,60655503,2006,82380,cruise|escape|ocean|passenger|water,629,160000000,Action|Adventure|Drama|Thriller
Alice Through the Looking Glass ,218,113,33,40000,25000,11000,76846624,2016,21352,clock|dark fantasy|mad hatter|queen|sequel,131,170000000,Adventure|Family|Fantasy
Shrek the Third ,227,93,50,3000,795,692,320706665,2007,211971,disney spoof|fairy tale|prince|princess|tough guy,326,160000000,Adventure|Animation|Comedy|Family|Fantasy
Warcraft ,275,123,0,3000,716,648,46978995,2016,111609,based on video game|fictional language|fictional war|orc|sword and sorcery,781,160000000,Action|Adventure|Fantasy
Terminator Genisys ,474,126,230,24000,10000,2000,89732035,2015,188457,alternate timeline|cyborg|future|robot|time machine,867,155000000,Action|Adventure|Sci-Fi
The Chronicles of Narnia: The Voyage of the Dawn Treader ,228,113,150,531,82,59,104383624,2010,106446,dragon|king|mouse|quest|warrior,227,155000000,Adventure|Family|Fantasy
Pearl Harbor ,191,184,0,3000,961,691,198539855,2001,254111,air raid|black smoke|japanese military|japanese navy|sunday,1999,140000000,Action|Drama|History|Romance|War
Transformers ,396,144,0,662,599,581,318759914,2007,513158,alien contact|autobot|decepticon|robot vs. robot|teenage hero,1782,150000000,Action|Adventure|Sci-Fi
Alexander ,248,206,0,12000,11000,591,34293771,2004,138863,ancient greece|conquest|greek|greek myth|king,1390,155000000,Action|Adventure|Biography|Drama|History|Romance|War
Harry Potter and the Order of the Phoenix ,329,138,282,21000,11000,687,292000866,2007,355137,battle|magic|school|teacher|wizard,1108,150000000,Adventure|Family|Fantasy|Mystery
Harry Potter and the Goblet of Fire ,295,157,179,21000,11000,10000,289994397,2005,385670,fire|goblet|magic|tournament|wizard,1896,150000000,Adventure|Family|Fantasy|Mystery
Hancock ,318,102,532,10000,9000,979,227946274,2008,343648,bully comeuppance|destruction|prison|superhero|tough girl,590,150000000,Action|Drama
I Am Legend ,323,104,508,10000,1000,558,256386216,2007,530870,new york city|pandemic|post apocalypse|survivalist|virus,1413,150000000,Drama|Horror|Sci-Fi
Charlie and the Chocolate Factory ,276,115,13000,40000,16000,588,206456431,2005,320284,chocolate|diminution|miniaturization|physical flexability|ticket,1361,150000000,Adventure|Comedy|Family|Fantasy
Ratatouille ,318,111,663,1000,1000,954,206435493,2007,473887,chef|food|french|rat|restaurant,626,150000000,Animation|Comedy|Family|Fantasy
Batman Begins ,478,128,22000,23000,14000,11000,205343774,2005,980946,armored car|gangster|gotham|mixed martial arts|social decay,2685,150000000,Action|Adventure
Madagascar: Escape 2 Africa ,167,89,35,1000,851,436,179982968,2008,146019,africa|madagascar|new york city|sequel|zoo,119,150000000,Action|Adventure|Animation|Comedy|Family
Night at the Museum: Battle of the Smithsonian ,185,105,189,49000,3000,1000,177243721,2009,130272,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,209,150000000,Adventure|Comedy|Family|Fantasy
X-Men Origins: Wolverine ,350,119,151,20000,16000,2000,179883016,2009,361924,army|civil war|claw fight|commando|wolverine the character,641,150000000,Action|Adventure|Fantasy|Sci-Fi|Thriller
The Matrix Revolutions ,245,129,0,309,269,233,139259759,2003,364948,battle|epic|fight|future|machine,2121,150000000,Action|Sci-Fi
Frozen ,406,102,69,1000,523,490,400736600,2013,421658,magic|sister love|sister sister relationship|snow|snowman,904,150000000,Adventure|Animation|Comedy|Family|Fantasy|Musical
The Matrix Reloaded ,275,138,0,234,198,30,281492479,2003,421818,car motorcycle chase|one against many|oracle|prophecy|stylized violence,2789,150000000,Action|Sci-Fi
Thor: The Dark World ,486,112,230,26000,20000,12000,206360018,2013,414070,arrest|portal|thor|warrior|weapon,532,170000000,Action|Adventure|Fantasy
Mad Max: Fury Road ,739,120,750,27000,9000,943,153629485,2015,552503,australia|desert|escape|on the run|post apocalypse,1588,150000000,Action|Adventure|Sci-Fi|Thriller
Angels & Demons ,298,146,2000,15000,745,294,133375846,2009,207839,conclave|illuminati|murder|reference to bernini|reference to raphael,435,150000000,Mystery|Thriller
Thor ,516,115,0,26000,20000,12000,181015141,2011,536314,battle|marvel cinematic universe|scientist|thor|throne,738,150000000,Action|Adventure|Fantasy
Bolt ,225,96,59,17000,759,699,114053579,2008,146766,cat|dog|hamster|new york city|superpower,178,150000000,Adventure|Animation|Comedy|Drama|Family
G-Force ,145,88,12,730,607,182,119420252,2009,33042,fbi director|guinea pig|household appliance|secret agent|talking mouse,90,150000000,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi
Wrath of the Titans ,310,99,473,14000,897,502,83640426,2012,152826,ares|hades|titan|underworld|zeus,253,150000000,Action|Adventure|Fantasy
Dark Shadows ,526,113,13000,40000,17000,16000,79711678,2012,199039,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,479,100000000,Comedy|Fantasy|Horror
Mission: Impossible - Rogue Nation ,465,131,188,10000,10000,641,195000874,2015,232187,capture|computer hacker|mission|rogue agent|spy,440,150000000,Action|Adventure|Thriller
The Wolfman ,357,119,394,12000,490,162,61937495,2010,89442,asylum|death|full moon|transformation|werewolf,432,150000000,Drama|Fantasy|Horror|Thriller
The Legend of Tarzan ,248,110,282,11000,10000,103,124051759,2016,42372,africa|capture|jungle|male objectification|tarzan,239,180000000,Action|Adventure|Drama|Romance
Bee Movie ,194,91,58,2000,852,826,126597121,2007,105902,bee|dream sequence|egg|scatological humor|squashed bug,206,150000000,Adventure|Animation|Comedy|Family
Kung Fu Panda 2 ,284,90,90,11000,10000,15,165230261,2011,182718,china|kung fu|panda|peacock|tigress,209,150000000,Action|Adventure|Animation|Comedy|Family
The Last Airbender ,280,103,0,1000,756,346,131564731,2010,118951,avatar|fire|kingdom|tribe|water,1382,150000000,Action|Adventure|Family|Fantasy
Mission: Impossible III ,310,124,14000,22000,10000,979,133382309,2006,256695,arms dealer|fictional government agency|mission|rescue|vatican,871,150000000,Action|Adventure|Thriller
White House Down ,339,131,776,17000,551,256,73103784,2013,164238,black u.s. president|president|secret service|tour|white house,434,150000000,Action|Drama|Thriller
Mars Needs Moms ,132,88,25,921,562,433,21379315,2011,17590,boy|martian|rescue|robot|sexism,112,150000000,Action|Adventure|Animation|Comedy|Family|Sci-Fi
Flushed Away ,135,85,42,20000,14000,586,64459316,2006,85086,boat|frog|rat|sewer|toad,122,149000000,Adventure|Animation|Comedy|Family
Pan ,256,111,456,20000,548,394,34964818,2015,39956,1940s|child hero|fantasy world|orphan|reference to peter pan,186,150000000,Adventure|Family|Fantasy
Mr. Peabody & Sherman ,196,92,50,3000,1000,517,111505642,2014,47900,dog|father son relationship|inventor|talking dog|time travel,130,145000000,Adventure|Animation|Comedy|Family|Sci-Fi
Troy ,220,196,249,11000,5000,844,133228348,2004,381672,greek|mythology|prince|trojan|troy,1694,175000000,Adventure
Madagascar 3: Europe's Most Wanted ,211,93,35,851,770,436,216366733,2012,119213,animal|circus|island name in title|lemur|penguin,154,145000000,Adventure|Animation|Comedy|Family
Die Another Day ,264,133,93,769,766,746,160201106,2002,169914,catfight|clinic|colonel|diamond|patricide,1185,142000000,Action|Adventure|Thriller
Ghostbusters ,464,116,176,783,370,322,118099659,2016,69757,ghost|ghostbuster|ghostbusters|male objectification|reboot,1211,144000000,Action|Comedy|Fantasy|Sci-Fi
Armageddon ,167,153,0,13000,12000,537,201573391,1998,322395,asteroid|astronaut|bomb|meteorite|outer space,1171,140000000,Action|Adventure|Sci-Fi|Thriller
Men in Black II ,208,88,188,10000,3000,826,190418803,2002,270207,alien|lingerie|lingerie model|m.i.b.|pug,606,140000000,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi
Beowulf ,287,115,0,18000,12000,964,82161969,2007,142440,creature|demon|king|reward|warrior,505,150000000,Action|Adventure|Animation|Fantasy
Kung Fu Panda 3 ,210,95,5,24000,11000,967,143523463,2016,64322,china|kung fu|panda|pig|village,145,145000000,Action|Adventure|Animation|Comedy|Family
Mission: Impossible - Ghost Protocol ,432,133,663,10000,10000,690,209364921,2011,365104,dubai|kremlin|race against time|russian|terrorist,512,145000000,Action|Adventure|Thriller
Rise of the Guardians ,256,97,52,20000,315,161,103400692,2012,123553,belief|box office hit|children|new york city|tooth,174,145000000,Adventure|Animation|Family|Fantasy
Fun with Dick and Jane ,135,90,23,957,550,233,110332737,2005,110788,animal abuse|ceo|heist|suburb|unemployment,258,100000000,Comedy|Crime
The Last Samurai ,190,154,380,10000,956,445,111110575,2003,317166,captain|emperor|honor|japan|samurai,928,140000000,Action|Drama|History|War
Exodus: Gods and Kings ,314,150,0,23000,893,748,65007045,2014,128682,egypt|exodus|moses|pharaoh|plague,657,140000000,Action|Adventure|Drama
Star Trek ,518,127,14000,26000,12000,981,257704099,2009,504419,box office hit|future|lifted by the throat|star trek|vulcan,1559,150000000,Action|Adventure|Sci-Fi
Spider-Man ,291,121,0,24000,11000,4000,403706375,2002,544665,evil|goblin|spider|spider man|superhero,2012,139000000,Action|Adventure|Fantasy|Romance
How to Train Your Dragon 2 ,292,102,255,18000,3000,953,176997107,2014,221128,dragon|father son relationship|husband wife relationship|mother son relationship|viking,343,145000000,Action|Adventure|Animation|Comedy|Family|Fantasy
Gods of Egypt ,184,126,295,18000,934,284,31141074,2016,51892,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,273,140000000,Action|Adventure|Fantasy
Stealth ,145,121,357,820,780,653,31704416,2005,45455,artificial intelligence|box office flop|fighter jet|navy|pilot,388,135000000,Action|Adventure|Sci-Fi|Thriller
Watchmen ,451,215,0,986,745,413,107503316,2009,392474,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity,1229,130000000,Action|Drama|Mystery|Sci-Fi
Lethal Weapon 4 ,141,127,503,5000,808,91,129734803,1998,127497,kung fu|lapd|martial arts|private investigator|triad,287,140000000,Action|Crime|Thriller
Hulk ,267,138,0,820,300,258,132122995,2003,212106,1980s|c 130 hercules|monster|panzer|san francisco california,1445,137000000,Action|Sci-Fi
G.I. Joe: Retaliation ,351,122,209,17000,12000,934,122512052,2013,146352,general|gi joe|martial arts|ninja|president,288,130000000,Action|Adventure|Sci-Fi|Thriller
Sahara ,163,124,42,11000,973,848,68642452,2005,77673,beach|civil war|desert|dictator|ship,463,130000000,Action|Adventure|Comedy|Thriller
Final Fantasy: The Spirits Within ,166,106,6,12000,2000,422,32131830,2001,72259,general|military|scientist|soldier|year 2065,788,137000000,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi
Captain America: The First Avenger ,510,124,394,11000,3000,2000,176636816,2011,508818,arctic|captain america|scientist|tesseract|war bond,679,140000000,Action|Adventure|Sci-Fi
